Asset Type,JP,EN,Advocate,Russian,Maker Universe,Korean,Traditional Chinese
,jファンファーレ6,jfanfare 6,fanfare6,,Jfanfare6,J팡파르6,j吹奏樂6
,j宿1,jinn 1,inn1,,Jinn1,J숙소1,j住宿1
,j宿2,jinn 2,inn2,,Jinn2,J숙소2,j住宿2
,j戦闘終了1,jend of battle 1,victory1,,Jaggressiveend1,J전투종료1,j戰鬥結束1
,j戦闘終了2,jend of battle 2,victory2,,Jaggressiveend2,J전투종료2,j戰鬥結束2
,j戦闘終了3,jend of battle 3,victory3,,Jaggressiveend3,J전투종료3,j戰鬥結束3
,j戦闘終了4,jend of battle 4,victory4,,Jaggressiveend4,J전투종료4,j戰鬥結束4
,j疑惑,jdoubt,surprise,,Jdoubt,J의혹,j疑惑
,j謎,jmystery,riddle,,Jpuzzle,J수수께기,j謎
,se2003アラーム,se2003alarm,se-alarm,SE2003Ding,SE2003alarm,SE2003알람,se2003警報
,se2003ジャングル,se2003jungle,se-jungle,SE2003Jungle,SE2003jungle,SE2003정글,se2003叢林
,se2003雑踏,se2003bustle,se-crowd,SE2003People,SE2003bustle,SE2003혼잡,se2003雜沓
,se2003風,se2003wind,se-gale,SE2003Winter,SE2003wind,SE2003바람,se2003風
,se2003鳥,se2003bird,se-bird,SE2003Birds,SE2003bird,SE2003새,se2003鳥
,se地震,seearthquake,se-quake,SEEarthquake,SEearthquake,SE지진,se地震
,se大雨,sedownpour,se-torrent,SERain2,SEheavyrain,SE호우,se大雨
,se時計,seclock,se-clock,SEClock,SEclock,SE시계,se鐘
,se海,sesea,se-ocean,SESea,SEsea,SE바다,se海
,se雨,serain,se-rain,SERain,SErainy,SE비,se雨
,エンディング1,ending 1,ending1,,,끝1,結束1
,エンディング2,ending 2,ending2,,,끝2,結束2
,エンディング3,ending 3,ending3,,,끝3,結束3
,オープニング1,opening 1,opening1,,,오프닝1,開始1
,オープニング2,opening 2,opening2,,,오프닝2,開始2
,オープニング3,opening 3,opening3,,,오프닝3,開始3
,ゲームオーバー1,game over 1,gameover1,,,게임오버1,遊戲結束1
,ゲームオーバー2,game over 2,gameover2,,,게임오버2,遊戲結束2
,ゲームオーバー3,game over 3,gameover3,,,게임오버3,遊戲結束3
,ゴーストタウン1,ghost town 1,ghost-town1,,,고스트 타운1,鬼城1
,ゴーストタウン2,ghost town 2,ghost-town2,,,고스트 타운2,鬼城2
,ダンジョン1,dungeon 1,dungeon1,,,지하감옥1,迷宮1
,ダンジョン2,dungeon 2,dungeon2,,,지하감옥2,迷宮2
,ダンジョン3,dungeon 3,dungeon3,,,지하감옥3,迷宮3
,ダンジョン4,dungeon 4,dungeon4,,,지하감옥4,迷宮4
,ダンジョン5,dungeon 5,dungeon5,,,지하감옥5,迷宮5
,ピンチ,in a pinch,tightspot,,,핀치,危機
,フィールド1,field 1,field1,,,필드1,原野1
,フィールド2,field 2,field2,,,필드2,原野2
,フィールド3,field 3,field3,,,필드3,原野3
,フィールド4,field 4,field4,,,필드4,原野4
,ボス1,boss 1,boss1,,,보스1,boss1
,ボス2,boss 2,boss2,,,보스2,boss2
,ボス3,boss 3,boss3,,,보스3,boss3
,ボス4,boss 4,boss4,,,보스4,boss4
,乗り物1,vehicle 1,vehicle1,,,차량1,交通工具1
,乗り物2,vehicle 2,vehicle2,,,차량2,交通工具2
,乗り物3,vehicle 3,vehicle3,,,차량3,交通工具3
,別れ1,parting 1,parting1,,,이별1,別離1
,別れ2,parting 2,parting2,,,이별2,別離2
,勇者1,hero 1,hero1,,,용사1,勇者1
,勇者2,hero 2,hero2,,,용사2,勇者2
,動物,animal,animal,,,동물,動物
,勝利,victory,success,,,승리,勝利
,城1,castle 1,castle1,,,성1,城1
,城2,castle 2,castle2,,,성2,城2
,城3,castle 3,castle3,,,성3,城3
,塔1,tower 1,tower1,,,탑1,塔1
,塔2,tower 2,tower2,,,탑2,塔2
,塔3,tower 3,tower3,,,탑3,塔3
,妖精1,fairy 1,fairy1,,,요정1,妖精1
,妖精2,fairy 2,fairy2,,,요정2,妖精2
,安らぎ1,repose 1,solace1,,,편안해짐1,安樂1
,安らぎ2,repose 2,solace2,,,편안해짐2,安樂2
,安らぎ3,repose 3,solace3,,,편안해짐3,安樂3
,店1,shop 1,shop1,,,점1,店1
,店2,shop 2,shop2,,,점2,店2
,店3,shop 3,shop3,,,점3,店3
,怒り,wrath,malice,,,화내다,怒
,悲しみ,sorrow,sad,,,슬퍼하다,悲傷
,戦闘1,battle 1,battle1,,,전투1,戰鬥1
,戦闘2,battle 2,battle2,,,전투2,戰鬥2
,戦闘3,battle 3,battle3,,,전투3,戰鬥3
,探索,exploration,explore,,,탐색,探索
,敗北,defeat,defeat,,,패배,敗北
,教会,church,church2,,,교회,教會
,明るい市場,lively market,bazaar,,,밝은 시장,明亮的市集
,村1,village 1,village1,,,촌1,村1
,村2,village 2,village2,,,촌2,村2
,村3,village 3,village3,,,촌3,村3
,泥棒,thief,thief,,,도둑,泥棒
,活気,liveliness,strength,,,활기,朝氣
,町1,town 1,town1,,,밭두둑1,街1
,町2,town 2,town2,,,밭두둑2,街2
,町3,town 3,town3,,,밭두둑3,街3
,神秘1,mystery 1,mystery1,,,신비1,神秘1
,神秘2,mystery 2,mystery2,,,신비2,神秘2
,神秘3,mystery 3,mystery3,,,신비3,神秘3
,秘宝,secret treasure,treasure,,,바보,神秘寶藏
,船1,ship 1,boat1,,,배1,船1
,船2,ship 2,boat2,,,배2,船2
,船3,ship 3,boat3,,,배3,船3
,試練,trial,ordeal,,,시련,試煉
,闇市,black market,eviltown,,,암시장,黑市
,魔王,demon lord,demonic,,,마왕,魔王
Panorama,夕焼け1,sunset1,dusk1,Dawn1,eveningglow1,석양1,夕陽1
,夕焼け2,sunset2,dusk2,Dawn2,eveningglow2,석양2,夕陽2
,夜明け1,dawn1,dawn1,Evening1,dawn1,새벽1,黎明1
,夜明け2,dawn2,dawn2,Evening2,dawn2,새벽2,黎明2
,夜空1,night sky1,night1,Night1,nightempty1,밤하늘1,夜空1
,夜空2,night sky2,night2,Night2,nightempty2,밤하늘2,夜空2
,宇宙,cosmos1,space,Galaxy,space,우주,宇宙
,惑星1,planet1,planet1,Planet1,planetary1,혹성1,惑星1
,惑星2,planet2,planet2,Planet2,Planetary2,혹성2,惑星2
,惑星3,planet3,planet3,Planet3,Planetary3,혹성3,惑星3
,異空間,dimension rift,strange,Weird,strangespacial,이공간,異次元空間
,空1,sky1,sky1,Morning1,empty1,하늘1,天空1
,空2,sky2,sky2,Morning2,empty2,하늘2,天空2
Sound,アイテム1,item1,item1,,Item1,아이템1,物品1
,アイテム2,item2,item2,,Item2,아이템2,物品2
,あたり1,chime1,jingle1,,Around1,즈음하고1,碰撞1
,あたり2,chime2,jingle2,,Around2,즈음하고2,碰撞2
,アップ,buff,increase,,Upgrade,업,上昇
,イヌ,dog,dog,,Dog,강아지,狗
,ウシ,cow,cow,,Cow,소,牛
,ウマ,horse,horse,,Horse,발판,馬
,おたけび,roar,roar,,Roar,우렁찬 외침,吶喊
,カーソル1,cursor1,cursor1,,Cursor1,커서1,游標1
,カーソル2,cursor2,cursor2,,Cursor2,커서2,游標2
,ガシャン,glassshatter,shatter,,Glass,가샨,裂開
,キャンセル1,cancel1,cancel1,,Cancel1,취소1,取消1
,キャンセル2,cancel2,cancel2,,Cancel2,취소2,取消2
,しびれ1,paralyze1,paralyze1,,Paralyze1,마비1,麻痺1
,しびれ2,paralyze2,paralyze2,,Paralyze2,마비2,麻痺2
,しびれ3,paralyze3,paralyze3,,Paralyze3,마비3,麻痺3
,ジャンプ1,jump1,jump1,,Jump1,점프1,跳躍1
,ジャンプ2,jump2,jump2,,Jump2,점프2,跳躍2
,ショット1,shot1,shot1,,Laser1,쇼트1,發射1
,ショット2,shot2,shot2,,Laser2,쇼트2,發射2
,ショット3,shot3,shot3,,Laser3,쇼트3,發射3
,スイッチ1,switch1,switch1,,Switch1,스위치1,開關1
,スイッチ2,switch2,switch2,,Switch2,스위치2,開關2
,ダウン,debuff,decrease,,Downgrade,다운,下降
,ダメージ1,damage1,damage1,,Damege1,데미지1,傷害1
,ダメージ2,damage2,damage2,,Damege2,데미지2,傷害2
,テレポート1,teleport1,teleport1,,Teleport1,텔레포트1,傳送1
,テレポート2,teleport2,teleport2,,Teleport2,텔레포트2,傳送2
,トラ,tiger,tiger,,Tiger,트럭,虎
,にらみ,glare,gaze,,Glare,노려봄,凝視
,にわとり,chicken,chicken,,Chicken,닭,雞
,ネコ,cat,cat,,Cat,고양이,貓
,ノック,knock,knock,,Knock,노크,敲
,はずれ1,buzzer1,failure1,,End1,잘라내기1,磨擦1
,はずれ2,buzzer2,failure2,,End2,잘라내기2,磨擦2
,バリア,barrier,barrier,,Barrier,배리어,護罩
,ひつじ,sheep,sheep,,Sheep,양,羊
,ブザー1,buzzer3,buzzer1,,Buzzer1,버저1,汽笛1
,ブザー2,buzzer4,buzzer2,,Buzzer2,버저2,汽笛2
,フラッシュ1,flash1,flash1,,Flashlight1,플래시1,閃爍1
,フラッシュ2,flash2,flash2,,Flashlight2,플래시2,閃爍2
,フラッシュ3,flash3,flash3,,Flashlight3,플래시3,閃爍3
,ブレス,breath,breath,,Breath,호흡,氣息
,モンスター1,monster1,monster1,,Monster1,몬스터1,怪物1
,モンスター2,monster2,monster2,,Monster2,몬스터2,怪物2
,ライオン,lion,lion,,Lion,사자,獅
,冷気1,ice1,ice01,,Ice1,냉기1,冰1
,冷気2,ice2,ice04,,Ice2,냉기2,冰2
,冷気3,ice3,ice05,,Ice3,냉기3,冰3
,冷気4,ice4,ice06,,Ice4,냉기4,冰4
,冷気5,ice5,ice07,,Ice5,냉기5,冰5
,冷気6,ice6,ice08,,Ice6,냉기6,冰6
,冷気7,ice7,ice09,,Ice7,냉기7,冰7
,冷気8,ice8,ice10,,Ice8,냉기8,冰8
,冷気9,ice9,ice11,,Ice9,냉기9,冰9
,冷気10,ice10,ice02,,Ice10,냉기10,冰10
,冷気11,ice11,ice03,,Ice11,냉기11,冰11
,剣1,sword1,sword1,,Sword1,검1,劍1
,剣2,sword2,sword2,,Sword2,검2,劍2
,剣3,sword3,sword3,,Sword3,검3,劍3
,吸収1,absorb1,absorb1,,Absorption1,흡수1,吸收1
,吸収2,absorb2,absorb2,,Absorption2,흡수2,吸收2
,噛む,bite,bloodsuck,,Bite,물다,咬
,回復1,recovery1,heal1,,Recovery1,회복1,回復1
,回復2,recovery2,heal2,,Recovery2,회복2,回復2
,回復3,recovery3,heal3,,Recovery3,회복3,回復3
,回復4,recovery4,heal4,,Recovery4,회복4,回復4
,回復5,recovery5,heal5,,Recovery5,회복5,回復5
,回復6,recovery6,heal6,,Recovery6,회복6,回復6
,回復7,recovery7,heal7,,Recovery7,회복7,回復7
,回復8,recovery8,heal8,,Recovery8,회복8,回復8
,回避1,evade1,evade1,,Evasion1,회피1,迴避1
,回避2,evade2,evade2,,Evasion2,회피2,迴避2
,地震1,earthquake1,quake1,,Earthquake1,지진1,地震1
,地震2,earthquake2,quake2,,Earthquake2,지진2,地震2
,壁1,barrier1,bump1,,Wall1,벽1,壁1
,壁2,barrier2,bump2,,Wall2,벽2,壁2
,大地1,earth1,earth01,,Earth1,대지1,大地1
,大地2,earth2,earth02,,Earth2,대지2,大地2
,大地3,earth3,earth03,,Earth3,대지3,大地3
,大地4,earth4,earth04,,Earth4,대지4,大地4
,大地5,earth5,earth05,,Earth5,대지5,大地5
,大地6,earth6,earth06,,Earth6,대지6,大地6
,大地7,earth7,earth07,,Earth7,대지7,大地7
,大地8,earth8,earth08,,Earth8,대지8,大地8
,大地9,earth9,earth09,,Earth9,대지9,大地9
,大地10,earth10,earth10,,Earth10,대지10,大地10
,巻き付き,ensnare,ensnare,,Vortex,달라붙기,捲襲
,弓1,bow1,bow1,,Bow1,활1,弓1
,弓2,bow2,bow2,,Bow2,활2,弓2
,戦闘1,combat1,battle1,,Battle1,전투1,戰鬥1
,戦闘2,combat2,battle2,,Battle2,전투2,戰鬥2
,打撃1,blow1,punch1,,Blow1,타격1,打擊1
,打撃2,blow2,punch2,,Blow2,타격2,打擊2
,打撃3,blow3,punch3,,Blow3,타격3,打擊3
,打撃4,blow4,punch4,,Blow4,타격4,打擊4
,打撃5,blow5,punch5,,Blow5,타격5,打擊5
,打撃6,blow6,punch6,,Blow6,타격6,打擊6
,打撃7,blow7,punch7,,Blow7,타격7,打擊7
,攻撃1,attack1,attack1,,Attack1,공격1,攻擊1
,攻撃2,attack2,attack2,,Attack2,공격2,攻擊2
,斬る1,slash1,strike01,,Cut1,벤다1,斬1
,斬る10,slash10,strike10,,Cut10,벤다10,斬10
,斬る11,slash11,strike11,,Cut11,벤다11,斬11
,斬る2,slash2,strike02,,Cut2,벤다2,斬2
,斬る3,slash3,strike03,,Cut3,벤다3,斬3
,斬る4,slash4,strike04,,Cut4,벤다4,斬4
,斬る5,slash5,strike05,,Cut5,벤다5,斬5
,斬る6,slash6,strike06,,Cut6,벤다6,斬6
,斬る7,slash7,strike07,,Cut7,벤다7,斬7
,斬る8,slash8,strike08,,Cut8,벤다8,斬8
,斬る9,slash9,strike09,,Cut9,벤다9,斬9
,時計,clock,clock,,Clock,시계,時鐘
,暗闇,blind,night,,Darkness,안보임,黑暗
,暗黒1,darkness1,dark1,,Darkness1,암흑1,暗黑1
,暗黒2,darkness2,dark2,,Darkness2,암흑2,暗黑2
,暗黒3,darkness3,dark3,,Darkness3,암흑3,暗黑3
,暗黒4,darkness4,dark4,,Darkness4,암흑4,暗黑4
,暗黒5,darkness5,dark5,,Darkness5,암흑5,暗黑5
,暗黒6,darkness6,dark6,Dark6,Darkness6,암흑6,暗黑6
,歌,song,song,,Song,노래,歌
,毒,poison,poison,,Poison,독,毒
,水1,water1,water1,,Water1,물1,水1
,水2,water2,water2,,Water2,물2,水2
,水3,water3,water3,,Water3,물3,水3
,水4,water4,water4,,Water4,물4,水4
,水5,water5,water5,,Water5,물5,水5
,水6,water6,water6,,Water6,물6,水6
,決定1,decision1,choice1,,Decision1,결정1,決定1
,決定2,decision2,choice2,,Decision2,결정2,決定2
,沈黙,silence,silence,,Silence,침묵,沉默
,海1,sea1,sea1,,Sea1,바다1,海1
,海2,sea2,sea2,,Sea2,바다2,海2
,消滅1,collapse1,vanish1,,Disappearance1,소멸1,消滅1
,消滅2,collapse2,vanish2,,Disappearance2,소멸2,消滅2
,混乱,confusion,confuse,,Caos,혼란,混亂
,炎1,fire1,fire1,,Flame1,화염1,炎1
,炎2,fire2,fire2,,Flame2,화염2,炎2
,炎3,fire3,fire3,,Flame3,화염3,炎3
,炎4,fire4,fire4,,Flame4,화염4,炎4
,炎5,fire5,fire5,,Flame5,화염5,炎5
,炎6,fire6,fire6,,Flame6,화염6,炎6
,炎7,fire7,fire7,,Flame7,화염7,炎7
,炎8,fire8,fire8,,Flame8,화염8,炎8
,爆発1,explosion1,explode1,,Explosion1,폭발1,爆發1
,爆発2,explosion2,explode2,,Explosion2,폭발2,爆發2
,爆発3,explosion3,explode3,,Explosion3,폭발3,爆發3
,爆発4,explosion4,explode4,,Explosion4,폭발4,爆發4
,爆発5,explosion5,explode5,,Explosion5,폭발5,爆發5
,爆発6,explosion6,explode6,,Explosion6,폭발6,爆發6
,爆発7,explosion7,explode7,,Explosion7,폭발7,爆發7
,睡眠,sleep,sleep,,Sleep,수면,睡眠
,砂けむり,sandstorm,sandstorm,,SandMind,모래 연기,沙塵暴
,神聖1,holy1,holy1,,Holy1,신성1,神聖1
,神聖2,holy2,holy2,,Holy2,신성2,神聖2
,神聖3,holy3,holy3,,Holy3,신성3,神聖3
,神聖4,holy4,holy4,,Holy4,신성4,神聖4
,神聖5,holy5,holy5,,Holy5,신성5,神聖5
,神聖6,holy6,holy6,,Holy6,신성6,神聖6
,神聖7,holy7,holy7,,Holy7,신성7,神聖7
,神聖8,holy8,holy8,,Holy8,신성8,神聖8
,神聖9,holy9,holy9,,Holy9,신성9,神聖9
,移動,move,footstep,,Run,이동,移動
,花粉,pollen,pollen,,Pollen,꽃가루,花粉
,落ちる1,fall1,fall1,,Fall1,떨어진다1,落下1
,落ちる2,fall2,fall2,,Fall2,떨어진다2,落下2
,蘇生1,raise1,revive1,,Revival1,소생1,復活1
,蘇生2,raise2,revive2,,Revival2,소생2,復活2
,蘇生3,raise3,revive3,,Revival3,소생3,復活3
,逃走,escape,flee,,Escape,도주,逃走
,鍵,key,key,,Key,자물쇠,鑰匙
,鐘,bell,gong,,Bell,종,鐘
,閉める1,close1,close1,,Close1,닫는다1,關閉1
,閉める2,close2,close2,,Close2,닫는다2,關閉2
,開ける1,open1,open1,,Open1,열다1,開啟1
,開ける2,open2,open2,,Open2,열다2,開啟2
,雨1,rain1,rain1,,Rain1,비1,雨1
,雨2,rain2,rain2,,Rain2,비2,雨2
,雷1,thunder1,bolt01,,Thunder1,전격1,雷1
,雷2,thunder2,bolt02,,Thunder2,전격2,雷2
,雷3,thunder3,bolt03,,Thunder3,전격3,雷3
,雷4,thunder4,bolt04,,Thunder4,전격4,雷4
,雷5,thunder5,bolt05,,Thunder5,전격5,雷5
,雷6,thunder6,bolt06,,Thunder6,전격6,雷6
,雷7,thunder7,bolt07,,Thunder7,전격7,雷7
,雷8,thunder8,bolt08,,Thunder8,전격8,雷8
,雷9,thunder9,bolt09,,Thunder9,전격9,雷9
,雷10,thunder10,bolt10,,Thunder10,전격10,雷10
,霧1,fog1,fog1,,Fog1,안개1,霧1
,霧2,fog2,fog2,,Fog2,안개2,霧2
,音波1,wave1,wave1,,Sound wave1,음파1,音波1
,音波2,wave2,wave2,,Sound wave2,음파2,音波2
,風1,wind1,wind01,,Wind1,바람1,風1
,風2,wind2,wind02,,Wind2,바람2,風2
,風3,wind3,wind03,,Wind3,바람3,風3
,風4,wind4,wind04,,Wind4,바람4,風4
,風5,wind5,wind05,,Wind5,바람5,風5
,風6,wind6,wind06,,Wind6,바람6,風6
,風7,wind7,wind07,,Wind7,바람7,風7
,風8,wind8,wind08,,Wind8,바람8,風8
,風9,wind9,wind09,,Wind9,바람9,風9
,風10,wind10,wind10,,Wind10,바람10,風10
,風11,wind11,wind11,,Wind11,바람11,風11
,魔法1,magic1,magic1,,Magic1,마법1,魔法1
,魔法2,magic2,magic2,,Magic2,마법2,魔法2
System,システム,system,system1,System,system,시스템,系統
,システムa,systema,system2,SystemA,SystemA,시스템a,系統a
,システムb,systemb,system3,SystemB,SystemB,시스템b,系統b
,システムc,systemc,system4,SystemC,SystemC,시스템c,系統c
System2,システム２a,system2a,system2a,System2A,systeméQA,시스템２a,系統2a
,システム２b,system2b,system2b,System2B,systeméQB,시스템２b,系統2b
,システム２c,system2c,system2c,System2C,systeméQC,시스템２c,系統2c
Title,タイトル1,title1,title1,Title1,title1,타이틀1,標題1
,タイトル2,title2,title2,Title2,title2,타이틀2,標題2
,タイトル3,title3,title3,Title3,title3,타이틀3,標題3
,タイトル4,title4,title4,Title4,title4,타이틀4,標題4
